name,label,partido,type,score,bigtype,billtype,cod_partido,uf
CP:2207459,PL 3433/2019,,Proposicao,0.25,bill,PL,,
CP:2207469,PL 3436/2019,,Proposicao,0.25,bill,PL,,
CP:2207488,PL 3438/2019,,Proposicao,0.25,bill,PL,,
CP:2207498,PL 3440/2019,,Proposicao,0.25,bill,PL,,
CP:2207511,PL 3443/2019,,Proposicao,0.25,bill,PL,,
CP:2207558,PL 3449/2019,,Proposicao,0.0,bill,PL,,
CP:2207673,PEC 94/2019,,Proposicao,0.25,bill,PEC,,
CP:2207717,PL 3484/2019,,Proposicao,0.25,bill,PL,,
CP:2207767,PL 3491/2019,,Proposicao,0.25,bill,PL,,
CP:2207803,PL 3498/2019,,Proposicao,0.25,bill,PL,,
CP:2207821,PL 3503/2019,,Proposicao,0.25,bill,PL,,
CP:2208033,PL 3530/2019,,Proposicao,0.25,bill,PL,,
CP:2208090,PL 3544/2019,,Proposicao,0.0,bill,PL,,
CP:2208102,PL 3545/2019,,Proposicao,0.0,bill,PL,,
CP:2208323,PL 3562/2019,,Proposicao,0.25,bill,PL,,
CP:2208325,PL 3563/2019,,Proposicao,0.25,bill,PL,,
CP:2208366,PL 3572/2019,,Proposicao,0.25,bill,PL,,
CP:2208679,PL 1121/2019,,Proposicao,0.75,bill,PL,,
CP:2208682,PL 1153/2019,,Proposicao,0.75,bill,PL,,
CP:2208683,PL 1539/2019,,Proposicao,0.75,bill,PL,,
CP:2208696,PL 3643/2019,,Proposicao,0.75,bill,PL,,
CP:2208704,PL 1669/2019,,Proposicao,0.75,bill,PL,,
CP:2208715,PL 3649/2019,,Proposicao,0.25,bill,PL,,
CP:2208720,MPV 886/2019,,Proposicao,0.5,bill,MPV,,
CP:2208914,PL 3668/2019,,Proposicao,0.25,bill,PL,,
CP:2208919,PL 3672/2019,,Proposicao,0.0,bill,PL,,
CP:2209022,PL 3679/2019,,Proposicao,0.25,bill,PL,,
CP:2209101,PL 3696/2019,,Proposicao,0.25,bill,PL,,
CP:2209143,PL 3702/2019,,Proposicao,0.0,bill,PL,,
CP:2209477,PL 3731/2019,,Proposicao,0.0,bill,PL,,
CP:2209672,PL 3750/2019,,Proposicao,0.25,bill,PL,,
CP:2209908,PL 3781/2019,,Proposicao,0.0,bill,PL,,
CP:2209952,PL 3784/2019,,Proposicao,0.25,bill,PL,,
CP:2210097,PL 3794/2019,,Proposicao,0.25,bill,PL,,
CP:2210109,PL 3797/2019,,Proposicao,0.75,bill,PL,,
CP:2210127,PL 3811/2019,,Proposicao,1.0,bill,PL,,
CP:2210260,PL 3829/2019,,Proposicao,0.25,bill,PL,,
CP:2210295,PLP 171/2019,,Proposicao,0.25,bill,PLP,,
CP:2210706,PL 3866/2019,,Proposicao,0.25,bill,PL,,
CP:2210757,PEC 17/2019,,Proposicao,0.75,bill,PEC,,
CP:2210811,PL 3874/2019,,Proposicao,0.25,bill,PL,,
CP:2210896,PL 3884/2019,,Proposicao,0.25,bill,PL,,
CP:2211561,PL 3979/2019,,Proposicao,0.25,bill,PL,,
CP:2211689,PL 3996/2019,,Proposicao,0.25,bill,PL,,
CP:2211757,PEC 112/2019,,Proposicao,0.25,bill,PEC,,
CP:2211836,PL 4021/2019,,Proposicao,0.25,bill,PL,,
CP:2211840,PL 4024/2019,,Proposicao,0.25,bill,PL,,
CP:2211880,PL 4029/2019,,Proposicao,0.0,bill,PL,,
