source,target,etype
CD:73801,CP:2226591,autoria
CD:204388,CP:2226619,autoria
CD:211866,CP:2226699,autoria
CD:204573,CP:2226717,autoria
CD:73441,CP:2226753,autoria
CO:78,CP:2226781,autoria
CD:204419,CP:2226885,autoria
CD:204520,CP:2227038,autoria
CD:74400,CP:2227076,autoria
CD:141470,CP:2227140,autoria
CD:204527,CP:2227429,autoria
CD:204441,CP:2227430,autoria
CD:69871,CP:2227433,autoria
CD:133810,CP:2227626,autoria
CD:204446,CP:2227639,autoria
CD:160592,CP:2227685,autoria
CD:141401,CP:2227702,autoria
CD:178835,CP:2227732,autoria
CD:178835,CP:2227739,autoria
CD:204472,CP:2227753,autoria
CD:178925,CP:2227803,autoria
CD:141421,CP:2227809,autoria
CD:204421,CP:2227863,autoria
CD:204421,CP:2227865,autoria
CD:204433,CP:2227917,autoria
CD:74052,CP:2228013,autoria
CD:178993,CP:2228132,autoria
CD:204416,CP:2228146,autoria
CD:74356,CP:2228151,autoria
CD:204559,CP:2228219,autoria
CD:204397,CP:2228253,autoria
CD:204547,CP:2228335,autoria
CD:204547,CP:2228343,autoria
CO:78,CP:2228665,autoria
CO:253,CP:2228675,autoria
CD:204399,CP:2228681,autoria
CD:73441,CP:2228688,autoria
CD:160518,CP:2228695,autoria
CD:204464,CP:2228710,autoria
CD:178984,CP:2228836,autoria
CD:204513,CP:2228846,autoria
CD:204455,CP:2228948,autoria
CO:81,CP:2228978,autoria
CO:253,CP:2229043,autoria
CD:204464,CP:2229089,autoria
CD:204436,CP:2229100,autoria
CO:78,CP:2229140,autoria
CO:78,CP:2229141,autoria
CD:204365,CP:2229193,autoria
CD:204556,CP:2229222,autoria
CO:253,CP:2229306,autoria
CO:253,CP:2229308,autoria
CD:164360,CP:2229379,autoria
CD:204435,CP:2229382,autoria
CD:178922,CP:2229410,autoria
CD:204460,CP:2229419,autoria
CD:74585,CP:2229482,autoria
CD:204371,CP:2229489,autoria
CO:81,CP:2229504,autoria
CO:78,CP:2229541,autoria
CO:78,CP:2229549,autoria
CO:78,CP:2229557,autoria
CO:78,CP:2229558,autoria
CO:78,CP:2229706,autoria
CO:78,CP:2229708,autoria
CD:74158,CP:2229723,autoria
CO:78,CP:2229725,autoria
CD:146307,CP:2229763,autoria
CD:204365,CP:2229815,autoria
CD:178925,CP:2229910,autoria
CD:178972,CP:2229938,autoria
CD:160632,CP:2229942,autoria
CO:253,CP:2229968,autoria
CD:204520,CP:2230006,autoria
CD:74043,CP:2230007,autoria
CD:74043,CP:2230008,autoria
CO:78,CP:2230022,autoria
CD:160570,CP:2230136,autoria
CD:160570,CP:2230140,autoria
CD:160570,CP:2230142,autoria
CD:160570,CP:2230143,autoria
CD:160570,CP:2230145,autoria
CD:160570,CP:2230147,autoria
CD:160570,CP:2230151,autoria
CD:160570,CP:2230154,autoria
CD:160570,CP:2230155,autoria
CD:160570,CP:2230159,autoria
CD:160570,CP:2230161,autoria
CD:178970,CP:2230197,autoria
CD:164359,CP:2230205,autoria
CD:178912,CP:2230234,autoria
CD:178948,CP:2230256,autoria
CD:204530,CP:2230347,autoria
CD:204416,CP:2230419,autoria
CD:141470,CP:2230504,autoria
CD:204377,CP:2230531,autoria
CD:204514,CP:2230542,autoria
CD:204421,CP:2230592,autoria
CD:204544,CP:2230594,autoria
CD:204524,CP:2230620,autoria
CO:253,CP:2230638,autoria
CO:253,CP:2230641,autoria
CO:253,CP:2230646,autoria
CO:253,CP:2230650,autoria
CD:74161,CP:2230666,autoria
CD:72442,CP:2230710,autoria
CD:204514,CP:2230809,autoria
CO:253,CP:2230815,autoria
CD:160632,CP:2230831,autoria
CD:204539,CP:2230871,autoria
CD:204535,CP:2230964,autoria
CD:178933,CP:2231069,autoria
